Date,Open,High,Low,Close,Adj Close,Volume
2020-10-23,60400,60400,59800,60200,57372.30078,9322232
2020-10-26,60400,61100,60100,60400,57562.90625,13268226
2020-10-27,60300,60300,59500,59800,56991.08594,17260416
2020-10-28,59400,59400,58800,59000,56228.66797,14428882
2020-10-29,58200,58500,57500,58100,55370.94531,22636966
2020-10-30,58000,58000,56600,56600,53941.40234,26907844
2020-11-02,56400,57500,56000,57400,54703.82422,20489076
2020-11-03,57900,58900,57600,58800,56038.06641,14950919
2020-11-04,58900,59000,57800,58500,55752.16016,21718561
2020-11-05,59000,60300,58800,60300,57467.60547,20639475
2020-11-06,60700,60800,59600,60100,57276.99609,16910230
2020-11-09,60700,60900,60100,60200,57372.30078,15892961
2020-11-10,60500,60500,59500,60200,57372.30078,19073552
2020-11-11,60700,61400,60400,61300,58420.62891,25628510
2020-11-12,61000,61400,60700,61000,58134.72266,19800573
2020-11-13,61300,63200,61000,63200,60231.38672,31508829
2020-11-16,64000,66700,63900,66300,63185.77344,36354334
2020-11-17,67000,67000,65600,65700,62613.95313,30204089
2020-11-18,65700,66200,64700,64800,61756.23438,22963790
2020-11-19,64100,64800,63900,64600,61565.62891,16590290
2020-11-20,63900,65200,63900,64700,61660.93359,15068682
2020-11-23,64800,67800,64700,67500,64329.40625,27134398
2020-11-24,67900,69500,67000,67700,64520.01563,32158235
2020-11-25,67900,68300,66500,66600,63471.67969,32447065
2020-11-26,66100,68000,66000,68000,64805.92188,19023323
2020-11-27,68000,68400,67600,68200,64996.52344,14063434
2020-11-30,68400,68600,66700,66700,63566.98438,43811016
2020-12-01,67100,68300,67100,67800,64615.30859,22327173
2020-12-02,68400,69900,68300,69500,66235.46875,29703942
2020-12-03,70100,70500,69300,69700,66426.07031,23677989
2020-12-04,70400,72100,70100,71500,68141.52344,28130533
2020-12-07,72400,73500,71900,72900,69475.75781,28490496
2020-12-08,72200,72900,71600,71700,68332.125,25000338
2020-12-09,72100,73900,72000,73900,70428.78906,24077996
2020-12-10,72700,73800,72500,72900,69475.75781,39882928
2020-12-11,73500,73800,73100,73400,69952.27344,18486672
2020-12-14,73600,74500,73200,73800,70333.48438,21510415
2020-12-15,73800,74100,73300,73800,70333.48438,20863671
2020-12-16,74100,74500,73400,73800,70333.48438,17512081
2020-12-17,73400,73700,72600,73300,69856.96875,24293214
2020-12-18,73300,73700,73000,73000,69571.0625,17613029
2020-12-21,73100,73400,72000,73000,69571.0625,20367355
2020-12-22,72500,73200,72100,72300,68903.9375,16304910
2020-12-23,72400,74000,72300,73900,70428.78906,19411326
2020-12-24,74100,78800,74000,77800,74145.60156,32502870
2020-12-28,79000,80100,78200,78700,75003.32813,40085044
2020-12-29,78800,78900,77300,78300,76500.10938,30339449
2020-12-30,77400,81300,77300,81000,79138.05469,29417421
2021-01-04,81000,84400,80200,83000,81092.07031,38655276
2021-01-05,81600,83900,81600,83900,81971.38281,35335669
2021-01-06,83300,84500,82100,82200,80310.45313,42089013
2021-01-07,82800,84200,82700,82900,80994.375,32644642
